name,nation,era,role,dob,dod,description,source
Sàlàkọ́ Castañares,Balisca,,,1987,,,articles/Countries/Balisca/People/Sàlàkọ́ Castañares.mediawiki
Tadahisa Jōhei,,,51st Prime Minister of Okaiken,1946,,,articles/unorganized/Tadahisa Jōhei.mediawiki
Tadashige Honda,,,42nd Prime Minister of Okaiken,1921,2003,,articles/unorganized/Tadashige Honda.mediawiki
Tadayama Ishida,,,41st Prime Minister of Okaiken,1902,1989,,articles/unorganized/Tadayama Ishida.mediawiki
Takeru Fujimoto,,,"Minister of Education, Culture, Sports, Science and Technology",1977,,,articles/unorganized/Takeru Fujimoto.mediawiki
Takigawa Kazumasu,,,"Daimyō, Regent, Military Commander",1525,1600,,articles/unorganized/Takigawa Kazumasu.mediawiki
Template_Infobox officeholder,,,},,,,articles/Templates/Template_Infobox officeholder.mediawiki
Template_Infobox royalty,,,,,,,articles/Templates/Template_Infobox royalty.mediawiki
Teruhito<br>輝仁,,,Prince Teruhito,2010,,,"articles/unorganized/Teruhito, Prince of Okaiken.mediawiki"
Tomohito<br>智仁,,,Crown Prince of Okaiken,2002,,,"articles/unorganized/Tomohito, Crown Prince of Okaiken.mediawiki"
Toshiro Kurosawa,,,Prime Minister of Okaiken,1985,,,articles/unorganized/Toshiro Kurosawa.mediawiki
Ubax Sago,Burawa,,Commune representative for Dafar Sare-1,1985,,,articles/Countries/Burawa/Events/Ubax Sago.mediawiki
Xasan Garaad,Burawa,,Leader of the Socialist Party of Burawa,1961,,,articles/Countries/Burawa/People/Xasan Garaad/Xasan Garaad.mediawiki
Yasuhiro Nakasone,Balisca,,2nd Prime Minister of Okaiken<br>(Federal Republic),1931,2026,,articles/Countries/Balisca/People/Yasuhiro Nakasone.mediawiki
Yoshimizu Ohno,,,1st Prime Minister of Okaiken<br>(Federal Republic),1908,1991,,articles/unorganized/Yoshimizu Ohno.mediawiki
Yoshito Sengoku,,,48th Prime Minister of Okaiken,1946,,,articles/unorganized/Yoshito Sengoku.mediawiki
Zavier Bilal,Balisca,,,,,,articles/Countries/Balisca/People/Zavier Bilal.mediawiki
