name,era,role,dob,dod,description
Andrés Guma,Reconstruction,Poet/Essayist,c. 1810,1858,"Proto-Symbolist theorist. Poet and essayist. Argued Guajicutean art should draw from own symbolic tradition not imitate Illpynian forms. Essays circulated in Sarta. Surname: guma (fire) plain root."
Fernando Paredes,Reconstruction,President (2nd),,,"PdA. Barirí successor. Steady unremarkable. Oversees tail end of depression. Sartan surname."
Pablo Yaya,Reconstruction,President (3rd),,,"PdA. Last PdA president. Rural base. Surname: yaya (earth/ground) plain root."
Francisco Navarro,Reconstruction,President (4th),,,"PdI. First PdI president. Urban pro-trade. Sartan surname."
Miguel Karibá,Reconstruction,President (5th),,,"PdI. Broadening beyond urban elite. Surname: kari (sea) + bá (place) = sea-place."
Salvador Ríos,Industrialization,President (6th),,,"PdI. War president. Led during War of Liberation (1853–1856). Sartan surname."
Rafael Aguilar,Industrialization,President (7th),,,"PdI. Post-war reconstruction. Guano boom begins. Sartan surname."
Ignacio Cruz,Industrialization,President (8th),,,"PdI. Faces workers riot (1861) PpE formation. Sartan surname."
Domingo Peña,Industrialization,President (9th),,,"PdI. Race riot (1866) immigration ban. Sartan surname."
José Moku,Industrialization,President (10th),,,"PdI. Signs public universal primary education (1870). Bridges to PpLT. Surname: moku (water) plain root."
Víctor Tabá,Industrialization,President (11th),,,"PdI. PdI-PpLT secret coalition era (1872). Surname: taba (stone) plain root."
Emilio Yabiku,Upheaval and Reform,President (12th),,,"PpLT. Coalition era PpLT dominates. Greater bureaucracy established (early 1880s). Surname: yabiku (wood-joining technique) plain root."
Hugo Garrido,Upheaval and Reform,President (13th),,,"PpLT. Licensing scheme established. Corruption scandals building during term. Sartan surname."
Arturo Medina,Upheaval and Reform,President (14th),,,"PdI. Gains ground as PpLT weakens from corruption scandals (~1888). Ironworks shuts down. Sartan surname."
César Bravo,Upheaval and Reform,President (15th),,,"PdI. Pre-war leadership. Catacombs rediscovered (1892). Sartan surname."
Roberto León,Upheaval and Reform,President (16th),,,"PdI. War president (Second War of the Isthmus 1893–1899). Slight majority. Income tax system established. Sartan surname."
Valentín Castro,Upheaval and Reform,President (17th),,,"PdI president PpLT Asamblea after 1899 flip (post-war recession). Ironworks purchased by Volisanian steel company. Sartan surname."
Lorenzo Mora,Upheaval and Reform,President (18th),,,"PpLT. Full power. Pushes left to compete with PdT. Ushers Constitutional Amendment of 1904 (women's enfranchisement). Sartan surname."
