name,ticker,sector,market_cap_bn,description
Coccola dels distribuïdors Abyala,CDDA,Food Beverage Tobacco,22.0,Largest Coccola bottler in Abyala; formed 2006 merger of Coccola dari Sanrobonia and Abyala Coccola Corporació; 20 plants across 7 markets (Sanrobonia/Potocsí/Balisca/Tapuya/Balboa/Asikyira/Lacashe) covering 500M+ population; 2.6M retail outlets; HAWT Inc. franchise; dual-listed SRX; Rahman family 11%; HAWT Inc. 35%; HQ Sant Cristòfor; Baliscan plants are worker cooperatives
CIEA,PB,Oil Gas Consumable Fuels,140.0,One of world's largest supermajor oil corporations; integrated petroleum (upstream/downstream/petrochemicals); founded 1936 as Companyia Petrolífera Unida de Balboa (GAW covert oil imports from Ayorin/Sanyan); nationalised post-war as Petrolí de Balboa; privatised 1974 during Balboan recession; merged with Syarikat Minyak Sanrobonian Selatan 1996; oil fields in Sanrobonia and Potocsí (Kuluba basin); principal refining at Badia Curta (Jala province
Grup Mayan,GMAY,Chemicals,5.5,HAWT Inc.'s sole global supplier of coca extract for Coccola; also produces pharmaceutical-grade cocaine for medical use worldwide; sources coca leaves from licensed growers in Balboa and Tapuya; founded 1964; HAWT Inc. 15%; HQ Sant Cristòfor; facilities in Ciutat de l'Estació
Grup Químic Central,GQC,Chemicals,8.0,Balboan fluorochemicals company; PFAS
Doble8,DBL8,Food Staples Retailing,5.0,"Largest convenience store chain in southern Abyala; ~1700 stores across Balboa/Sinchew/Tapuya/Lacashe; founded 8 Aug 1996 by Rafael Vidal i Comas (mixed-race Balboan raised in Sinchewese community); ""88"" brand from Sinchewese lucky number; 60% company-owned/40% franchise; Vidal family 28%; HQ Districte Financer Sant Cristòfor"
Polímers de Balboa,PDB,Chemicals,18.0,One of the world's largest plastics manufacturers; resins
Grup Tècnic Petrolí,GTP,Oil Gas Equipment Services,12.0,Largest oilfield services company in Abyala; refinery construction/maintenance
Nutrició del Món,NDM,Chemicals,18.0,One of the largest nitrogen fertilizer producers in Adonia; ammonia
Energia d'Abyala,EAB,Oil Gas Consumable Fuels,9.0,Balboan energy commodity trader; natural gas
Bitllet per a Abyala,BPA,Financial Services,12.0,Largest homegrown investment bank in Balboa; M&A advisory
Corporació Bancària del Nou Món,CBNM,Banks,80.0,Largest multinational bank in southern Abyala; founded 1789 as Banc Volisanià d'Estranger in colonial Sant Cristòfor; moved HQ to Potocsí after Second War of the Isthmus (1899); returned to Sant Cristòfor after Camboriú War (1977); renamed CBNM 1981; largest markets Potocsí (500 branches) and Tapuya (350 branches); strong presence in Sant Cristòfor; Sanrobonia branches serve Volisanian-speaking community; dual-listed SCX + APX; 48000 employees; 1200 branches; revenue $18B; assets $420B; HQ Districte Financer Sant Cristòfor
Corporació Nacional de Fabricants de Solvents,CNFS,Chemicals,3.8,Largest solvent manufacturer in Balboa; aromatic and aliphatic solvents from CIEA refinery byproducts; founded 1971 by Jordi Puig i Soler (former CIEA refinery engineer); Puig family 18%; CIEA 10%; 2800 employees; revenue $2.5B; main plant at Badia Curta Jala province; HQ Districte Financer Sant Cristòfor
Companyia Química Occidental,CQO,Chemicals,11.0,Diversified chemicals; polysilicon hydrogen peroxide fumed silica coal tar pitch BTX phosphoric acid HSPP; merger 1954 during AC mandate period of Papoa Siokte Huàxué (founded 1928 in Portnou) and Corporació Química Unida de Balboa (1934); moved to Badia Curta 1964; Lîm family 12%; CIEA 5%; FIDB 5%; CEO Jericho Warag (Burawi-Balboan); 9000 employees; revenue $8B; major exporter to Okaiken Balisca Louyang Breisland United Midlands; HQ 112 Carrer 5è Zone 2 Sant Bart; main plant Badia Curta Jala province; export terminal Port de Portnou
Grup Rojo,GRO,Chemicals,6.5,Oxo alcohols plasticizers polyethylene; founded 1968 by Pere Rojo i Vidal (former CIEA refinery engineer); steam cracker at Badia Curta; competes with PDB in polyethylene; Rojo family 15%; CIEA 8%; FIDB 6%; BPF 4%; 4500 employees; revenue $4.5B; HQ Zone 2 Sant Bart; main plant Badia Curta Jala province; export terminal Port de Portnou
Jalube,JLB,Chemicals,3.5,Largest domestic finished lubricants producer; automotive industrial marine lubricants; synthetic base stocks (esters PAO); also adipate plasticizers (DOA DIDA); founded 1972 by Jordi Serra i Pujol; Serra family 18%; FIDB 5%; BPF 4%; 3000 employees; revenue $2.5B; HQ Zone 2 Sant Bart; marine facility Port de Sant Cristòfor; competes with Grup Rojo in adipate plasticizers
Acereries de l'Istme,ACI,Steel,5.0,Largest steel producer in Balboa; successor to Foneria General de Balboa (founded 1903); 8.0M tpa crude steel; 2 blast furnaces + 2 BOF + 3 EAF; long + flat products; main plant Les Drassanes (municipality NW of Portnou); Camps family 10%; FIDB 8%; BPF 5%; 8000 employees; HQ Sant Cristòfor
Ferro Balboa,FBL,Steel,3.5,Second-largest steel producer; successor to Acereria Nacional de Balboa; 4.5M tpa; 4 EAF; long products (rebar bar sections); main plant Sant Bart; FIDB 8%; BPF 5%; 5000 employees; HQ Sant Bart
Grup Metal·lúrgic de Sant Bart,GMS,Steel,2.0,Specialty steel producer; 1.79M tpa; 2 EAF; stainless alloy tool steel; founded 1984 by Pere Masdeu i Font; Masdeu family 20%; FIDB 8%; BPF 5%; 2500 employees; HQ Sant Bart
Shoko Denko Balboa,SDB,Chemicals,4.5,Specialty chemicals subsidiary of Shoko Denko (Okaiken 65%); specialty petrochemicals (olefins fine organic chemicals engineering plastics) at Badia Curta for export; ceramics at Sant Bart; synthetic graphite from CIEA petroleum coke; IPO 30 June 2026; FIDB 5%; public float 25%; 2500 employees; revenue $2.5B; HQ Districte Financer Sant Cristòfor
Acabats i Tints de Balboa,ATB,Textiles,0.088,"Textile wet processing and finishing; dyeing, printing, bleaching, washing; serves Balboa and BTPMEU region; HQ Sant Bart; SCX 100 constituent"
Alumini de Balboa,ALB,Metals Mining,1.5,Primary aluminium smelter; Yalabirga foothills Jala Province; hydroelectric-powered; bauxite from domestic mines and Potocsí/Tapuya via RDM; founded 1974; HQ Sant Cristòfor
An Wei Abyala,AWA,Industrials,2.0,"Elevators and escalators; Abyala subsidiary of An Wei Corporation (Zong, 65%); assembles at Portnou; 18,000 units under maintenance; 4,000 employees; revenue $1.0B; HQ Sant Cristòfor"
Carrosseries de Balboa,CRR,Automotive,0.095,"Bus and truck bodywork manufacturer; transit buses, coaches, commercial truck bodies on imported chassis; domestic and BTPMEU; HQ Sant Bart; SCX 100 constituent"
Companyia de Productes Químics Pesants Balboa,PQQB,Chemicals,4.6,"Specialty chemicals; refrigerants, soaps, industrial solvents, base chemicals for cosmetics, fertilizers; Portnou industrial zone; HQ Portnou"
Components Automobilístics de l'Istme,CAU,Automotive,0.140,Automotive components manufacturer; replacement parts for domestic aftermarket and CKD assembly; HQ Sant Bart; SCX 100 constituent
Corporació de Plàstics Jala,CPJ,Chemicals,4.8,"High-performance engineering plastics; PEEK, PAI, PBI, ECTFE, PI, PTFE; vertically integrated in Jala province; aerospace, electronics, chemical processing; HQ Zone 2 Sant Bart; revenue $3.1B; 2,600 employees"
DHG Balboa,DHGB,Chemicals,0.280,"Specialty chemicals; formerly Diànyǐng Huàxué Pǐn Gōngsī (Film Chemical Products Company, est. 1924); photographic film and film processing chemicals to domestic chemical manufacturing from Badia Curta feedstocks; HQ Badia Curta Jala Province"
Distribució Automobilística de Balboa,DAB,Automotive,0.110,Automotive dealership group; 11 dealerships across 5 provinces; franchise agreements for imported vehicle brands; HQ Sant Cristòfor; SCX 100 constituent
Distribuïdors globals de sabates de Balboa,DSB,Consumer Retailing,0.240,Largest specialised footwear retailer; 86 stores across 5 provinces; imports from Volisania/Okaiken/Zong/Balisca/Sinchew; in-house label; trading as DSB Calçat; HQ Sant Cristòfor; SCX 100 constituent
Elastòmers de Balboa,EDB,Chemicals,0.640,"Sole domestic producer of NBR and BR synthetic rubber; feedstocks from CIEA refinery and PDB resin complex; R&D in Sant Cristòfor, manufacturing at Badia Curta; HQ Sant Bart"
Empresa de Pastissos i Pa,EPP,Food Beverage Tobacco,3.5,"Largest wheat importer and flour miller; imports wheat from Burawa and Louyang; bread, pastries, pasta for domestic market; HQ Portnou"
Extrusions de l'Istme,EXI,Metals Mining,0.6,"Aluminium extrusions; profiles, structural components, tubes from ALB/MYL primary aluminium; construction, transportation, assembly sectors; extrusion presses at Sant Bart Jala Province; founded 1985"
Grup Wuling,WUL,Consumer Retailing,0.520,"Largest domestic fashion retailer; 147 stores across 5 provinces; franchised international brands, in-house labels, Saldos off-price chain; 4,200 employees; HQ Sant Cristòfor; SCX 100 constituent"
Horaci Eduard Molí,HEM,Textiles,0.215,"Vertically integrated textile mill; synthetic fibers into woven/knitted fabrics, technical textiles, finished garments; HQ Sant Cristòfor, production at Sant Bart; SCX 100 constituent"
LHJ Balboa,LHJ,Chemicals,4.2,"Chemical and plastics subsidiary of Liánhé Huàxué Jítuán (Zong); polyethylene, polypropylene, PVC compounds, masterbatches, resins; domestic market and BTPMEU export; HQ Sant Cristòfor"
Laminats de Balboa,LDB,Metals Mining,0.8,"Aluminium rolled products; sheet, plate, foil from ALB/MYL primary aluminium; foil for processed food, sheet/plate for construction; rolling mills at Badia Curta Jala Province; founded 1982"
Lloguer i Viatges de l'Istme,LVI,Consumer Services,0.145,Car rental (IstmeLloguer brand) and coach tour operator; nationwide network; HQ Sant Cristòfor; SCX 100 constituent
Lycan,LYC,Chemicals,0.418,"Polyester manufacturer; polyester chips and filaments for textile, PET packaging, industrial applications; HQ Badia Curta Jala Province; SCX 100 constituent"
Metalls del Yalabirga,MYL,Metals Mining,1.0,"Non-ferrous metals smelting and refining; aluminium smelting, copper refining from Yalabirga mining; hydroelectric-powered; founded 1979; primary domestic copper supplier; HQ Jala Province"
Muntatge Automobilístic de Balboa,MAB,Automotive,0.180,CKD vehicle assembly; electric and plug-in hybrid vehicles from imported kits; domestic market and BTPMEU tariff area; HQ Portnou; SCX 100 constituent
Opal,OPA,Chemicals,0.325,"Synthetic fiber manufacturer and exporter; polyester, nylon, acrylic fiber for textile manufacturing; domestic and BTPMEU export; HQ Sant Bart; SCX 100 constituent"
Tecnologies de Pagament Abyalan,TPA,Financial Services,3.2,Regional payment card network and issuer association; 115M cards in circulation; 7.2B transactions/year valued at I$310B; operates across Balboa/Tapuya/Guajicutea/Potocsí/Asikyira/Lacashe; HQ Sant Cristòfor
Teixits Tècnics de Balboa,TTB,Textiles,0.155,"Performance fabric contract manufacturer; moisture management, breathability, stretch, UV protection, flame resistance, antimicrobial; for international sportswear/outdoor/industrial brands; HQ Sant Bart; SCX 100 constituent"
Tèxtils Nacionals Balboa,TNB,Textiles,0.391,"Largest domestic textile manufacturer; woven/knitted fabrics, home textiles, technical textiles, garments; transitioned to contract manufacturing for international brands; HQ Sant Cristòfor, production at Sant Bart; SCX 100 constituent"
ViatgeBalboa,BBA,Consumer Services,0.310,"Online travel agency and local search platform; operates boaboa.com; accommodation booking, restaurant discovery, attraction ticketing, transport booking; dominant domestic travel platform; founded 2008; HQ Sant Cristòfor; SCX 100 constituent"
Noves Tecnologies d'Empreses,NTE,Technology,1.6,Data center infrastructure company; builds and manages facilities in Balboa and Potocsí; anchor contract with Kizan Systems (Okaiken) for TPU cluster hosting; founded 2024; IPO 2025; 450 employees; revenue $180M; HQ Dàrsena Sant Cristòfor
