Full Name,Role/Description,Source Filename
Raúl Mendez,Painter; La Voz del Istmo arts contributor; Black Balboan visual arts movement,La Voz del Istmo.mediawiki
Núria Balaguer,Music contributor; La Voz del Istmo; istmo son reviews,La Voz del Istmo.mediawiki
Tayeb Khelifi,Political editor; La Voz del Istmo; investigative journalism,La Voz del Istmo.mediawiki
Sònya Ròdrige,Editor-in-chief; La Voz del Istmo (2014-present); digital expansion,La Voz del Istmo.mediawiki
Cabdullahi Warsame,First High Commissioner of AC mandate; did not interfere with La Voz del Istmo,La Voz del Istmo.mediawiki
Mizue Naruse,Founder of Hope and Survival Happiness Group cult; former stockbroker from Toyozawa,Hope and Survival Happiness Group.mediawiki
Francesca Solà i Verdú,Founder and Chairman of Grup Químic Central; chemical engineer; billionaire,Francesca Solà i Verdú.mediawiki
Pere Bosch,CEO of Abyala Telecom; Volisanian corporate executive,Pere Bosch.mediawiki
Març Bosch i Guzmán,Balboan musician; cousin of Pere Bosch,Pere Bosch.mediawiki
Tân Hông-un,Founder of Banc Balboa; arrested 1989 for fraud; convicted 1991,Banc Balboa.mediawiki
Jordi Masdeu i Ousmane,Chairman of Banc Balboa,Banc Balboa.mediawiki
Tân Sûi-lêng,CEO of Banc Balboa,Banc Balboa.mediawiki
Jordi Arimany i Soler,Chairman of Abyala Telecom; grandson of original acquirer,Abyala Telecom.mediawiki
Lîm Chia-hui,Chairman of An Wei Abyala,An Wei Abyala.mediawiki
Pau Riera i Bonet,CEO of An Wei Abyala,An Wei Abyala.mediawiki
Tân Hô-chèng,Co-founder of Assegurances Heping and Mercaderies del Canal,Assegurances Heping.mediawiki
Ferran Masdeu i Soler,Co-founder of Assegurances Heping and Banc de Jala,Assegurances Heping.mediawiki
Tân Bûn-hiân,Chairman of Assegurances Heping,Assegurances Heping.mediawiki
Àngels Vidal i Crespo,CEO of Assegurances Heping,Assegurances Heping.mediawiki
Joaquim Verdaguer i Clos,Founder of Assegurances Unificades d'Abyala,Assegurances Unificades d'Abyala.mediawiki
Sebastià Verdaguer i Masdeu,Chairman of Assegurances Unificades d'Abyala,Assegurances Unificades d'Abyala.mediawiki
Lídia Verdaguer i Crespo,CEO of Assegurances Unificades d'Abyala,Assegurances Unificades d'Abyala.mediawiki
Kofi Ousmane i Masdeu,Chairman of Banc de Jala; first Black chairman in bank's history,Banc de Jala.mediawiki
Marta Vidal i Estrada,CEO of Banc de Jala,Banc de Jala.mediawiki
Ferran Masdeu i Vidal,Former chairman of Banc de Jala; founder's son,Banc de Jala.mediawiki
Lloreç Ferrer i Solà,Founder of Banc de l'Istme,Banc de l'Istme.mediawiki
Jordi Ferrer i Masdeu,Chairman of Banc de l'Istme,Banc de l'Istme.mediawiki
Mònica Ferrer i Vidal,CEO of Banc de l'Istme,Banc de l'Istme.mediawiki
Jonas Martin,Founder of BdSC Corporació,BdSC Corporació.mediawiki
Andreu Calvet i Bosch,Founder and CEO of Bitllet per a Abyala,Bitllet per a Abyala.mediawiki
Laia Verdaguer i Solà,President of Bitllet per a Abyala; former central bank official,Bitllet per a Abyala.mediawiki
Francesc Reig i Ferrer,Founder of CIEA,CIEA.mediawiki
Jordi Vidal i Ousmane,Chairman of Casa Balboa,Casa Balboa.mediawiki
Tân Bûn-hiông,CEO of Casa Balboa,Casa Balboa.mediawiki
Pere Comas i Riera,Founder of Cases Justes,Cases Justes.mediawiki
Lluís Comas i Masdeu,Chairman of Cases Justes,Cases Justes.mediawiki
Caterina Comas i Vidal,CEO of Cases Justes,Cases Justes.mediawiki
Wada Kenji,Chairman of Coccola dels distribuïdors Abyala,Coccola dels distribuïdors Abyala.mediawiki
Tanaka Yoshihiro,CEO of Coccola dels distribuïdors Abyala,Coccola dels distribuïdors Abyala.mediawiki
Sanusi Rahman,Founder of Coccola dari Sanrobonia,Coccola dels distribuïdors Abyala.mediawiki
Francesc Prat i Soler,Founder of Companyia Grand Balboa,Companyia Grand Balboa.mediawiki
Joan Prat i Masdeu,Chairman of Companyia Grand Balboa,Companyia Grand Balboa.mediawiki
Elisabet Prat i Vidal,CEO of Companyia Grand Balboa,Companyia Grand Balboa.mediawiki
Lîm Wei-jun,Chairman of Companyia Química Occidental; grandson of founder,Companyia Química Occidental.mediawiki
Jericho Warag,CEO of Companyia Química Occidental,Companyia Química Occidental.mediawiki
Lîm Hui-sheng,Founder of Papoa Siokte Huàxué; first chairman of CQO,Companyia Química Occidental.mediawiki
Francesc Bosch i Vidal,Technical director of Companyia Química Occidental,Companyia Química Occidental.mediawiki
Henri Rouche,Founder of HRX,HRX.mediawiki
Auguste Rouche,Member of Rouche family,HRX.mediawiki
David Rouche i Masdeu,Member of Rouche family,HRX.mediawiki
Marc Rouche i Masdeu,Member of Rouche family,HRX.mediawiki
Pau Rouche,Member of Rouche family,HRX.mediawiki
Hiroshi Tanaka i Masdeu,Founder and Chairman of Hirocorp; CEO of Serveis del Canal de Balboa,Hirocorp.mediawiki
Rosa Vidal i Estrada,CEO of Hirocorp,Hirocorp.mediawiki
Horaci Vilanova i Mas,Co-founder of Horaci Eduard Molí; textile industry veteran,Horaci Eduard Molí.mediawiki
Eduard Cabot i Riera,Co-founder of Horaci Eduard Molí; textile industry veteran,Horaci Eduard Molí.mediawiki
Mònica Vilanova i Cortés,CEO of Horaci Eduard Molí,Horaci Eduard Molí.mediawiki
Mònica Vidal i Estrada,Chairwoman of Humà Banc Balboa,Humà Banc Balboa.mediawiki
Carles Masdeu i Soler,CEO of Humà Banc Balboa,Humà Banc Balboa.mediawiki
Pere Masdeu i Vidal,First CEO of Humà Banc Balboa; recruited from ACMF restructuring,Humà Banc Balboa.mediawiki
Pere Masdeu i Birú,Chairman of Intercon Mercaderies and Mineria de Mario,Intercon Mercaderies.mediawiki
Tân Hô-bûn,CEO of Intercon Mercaderies,Intercon Mercaderies.mediawiki
Jordi Serra i Pujol,Founder of Jalube,Jalube.mediawiki
Amadu Bello,CEO of Jalube,Jalube.mediawiki
Chen Minghua,Chairman of LHJ Balboa,LHJ Balboa.mediawiki
Saïd Ayyub,CEO of LHJ Balboa,LHJ Balboa.mediawiki
Bernat Lladó i Segarra,Founder and non-executive chairman of Lycan,Lycan.mediawiki
Aina Colom i Vives,CEO of Lycan,Lycan.mediawiki
Miquel Àngel Prats i Ferrer,Founder and Managing Partner of Mariposa Inversors Global,Mariposa Inversors Global.mediawiki
Laia Verdaguer i Bonet,Co-Managing Partner of Mariposa Inversors Global,Mariposa Inversors Global.mediawiki
Tân Bûn-tek,Chairman of Mercaderies del Canal; replaced founder Tân Hô-chèng,Mercaderies del Canal.mediawiki
Rosa Estrada i Vidal,CEO of Mercaderies del Canal; Chairwoman of Mineria de Mario,Mercaderies del Canal.mediawiki
Mario Estrada i Soler,Founder of Mineria de Mario; Sant Bart-based merchant and landowner,Mineria de Mario.mediawiki
Bernat Serra i Puig,Founder of Més Gran Corporació,Més Gran Corporació.mediawiki
Jordi Serra i Masdeu,Chairman of Més Gran Corporació,Més Gran Corporació.mediawiki
Marta Serra i Vidal,CEO of Més Gran Corporació,Més Gran Corporació.mediawiki
Carles Masdeu i Vidal,Chairman of Navegació de Balboa and Serveis del Canal de Balboa,Navegació de Balboa.mediawiki
Tân Hô-ming,CEO of Navegació de Balboa,Navegació de Balboa.mediawiki
Jordi Masdeu i Vidal,Chairman of Nutrició del Món,Nutrició del Món.mediawiki
Elena Puig i Torres,CEO of Nutrició del Món; chemical engineer,Nutrició del Món.mediawiki
Marta Vidal i Soler,Founder and non-executive director of Opal,Opal.mediawiki
Jordi Puig i Arisa,CEO of Opal,Opal.mediawiki
Bernat Calvet i Puig,Chairman of Polímers de Balboa,Polímers de Balboa.mediawiki
Núria Serra i Bosch,CEO of Polímers de Balboa,Polímers de Balboa.mediawiki
Sebastià Solà i Vidal,Founder of Recursos del Marañón,Recursos del Marañón.mediawiki
Ricard Solà i Masdeu,Chairman of Recursos del Marañón,Recursos del Marañón.mediawiki
Núria Solà i Crespo,CEO of Recursos del Marañón,Recursos del Marañón.mediawiki
Tân Hô-kiat,Chairman of SY Balboa,SY Balboa.mediawiki
Àngels Masdeu i Estrada,CEO of SY Balboa,SY Balboa.mediawiki
Kenji Watanabe,Chairman of Shoko Denko Balboa,Shoko Denko Balboa.mediawiki
Jordi Vilanova i Pujol,CEO of Shoko Denko Balboa,Shoko Denko Balboa.mediawiki
Esteve Camps i Ribera,Founder of Foneria General de Balboa,Acereries de l'Istme.mediawiki
Pere Masdeu i Font,Founder of steel company (Ferro Balboa),Steel industry of Balboa.mediawiki
Kashiwagi Mika,Master Roaster of Habax Balboa; cooperative member,Habax Balboa.mediawiki
Kashiwagi Renji,Member of Kashiwagi family; Habax Coffee Cooperative,Habax Balboa.mediawiki
Jordi Masdeu i Vidal,Cooperative Coordinator of Habax Balboa,Habax Balboa.mediawiki
Amara Ousmane i Birú,Person mentioned in Economy files,Economy of Balboa.mediawiki
Carles Bonet i Masdeu,Person mentioned in Economy files,Economy of Balboa.mediawiki
Carles Bonet i Riera,Person mentioned in Economy files,Economy of Balboa.mediawiki
Carles Vidal i Estrada,Person mentioned in Economy files,Economy of Balboa.mediawiki
Carles Vidal i Masdeu,Person mentioned in Economy files; co-founder Mercaderies del Canal,Mercaderies del Canal.mediawiki
Anna Chen i Crespo,Person mentioned in Economy files,Economy of Balboa.mediawiki
Anna Vidal i Crespo,Person mentioned in Economy files,Economy of Balboa.mediawiki
Caterina Vidal i Crespo,Person mentioned in Economy files,Economy of Balboa.mediawiki
Cristina Aymar i Roca,Person mentioned in Economy files,Economy of Balboa.mediawiki
Ana Riera i Bonet,Person mentioned in Economy files,Economy of Balboa.mediawiki
Àlex Riera i Bonet,Person mentioned in Economy files,Economy of Balboa.mediawiki
August Vidal i Puig,Person mentioned in Economy files,Economy of Balboa.mediawiki
Rosa Vives i Carbonell,Person mentioned in Economy files,Economy of Balboa.mediawiki
Rosa Masdeu i Vidal,Person mentioned in Economy files,Economy of Balboa.mediawiki
Dolors Masdeu i Renom,Person mentioned in Economy files,Economy of Balboa.mediawiki
Marcus Chen i Masdeu,Person mentioned in Economy files,Economy of Balboa.mediawiki
Marcus Chen i Okonkwo,Person mentioned in Economy files,Economy of Balboa.mediawiki
Marc Ferrer i Vidal,Person mentioned in Economy files,Economy of Balboa.mediawiki
Marc Puig i Soler,Person mentioned in Economy files,Economy of Balboa.mediawiki
Marc Rouche i Masdeu,Member of Rouche family; mentioned in Economy files,Economy of Balboa.mediawiki
Miquel Mayans i Comas,Person mentioned in Economy files,Economy of Balboa.mediawiki
Miquel Estrada i Masdeu,Person mentioned in Economy files,Economy of Balboa.mediawiki
Marta Joan,Person mentioned in Economy files,Economy of Balboa.mediawiki
Marta Riera i Soler,Person mentioned in Economy files,Economy of Balboa.mediawiki
Mikkael Joan,Person mentioned in Economy files,Economy of Balboa.mediawiki
Núria Aragó i Soler,Person mentioned in Economy files,Economy of Balboa.mediawiki
Salvador Aragó i Piera,Person mentioned in Economy files,Economy of Balboa.mediawiki
Pau Serra i Estrada,Person mentioned in Economy files,Economy of Balboa.mediawiki
Pau Vidal i Roure,Person mentioned in Economy files,Economy of Balboa.mediawiki
Pere Rojo i Vidal,Person mentioned in Economy files; Rojo family,Economy of Balboa.mediawiki
Ricard Soler i Vidal,Person mentioned in Economy files,Economy of Balboa.mediawiki
Ricard Torrens i Balaguer,Person mentioned in Economy files,Economy of Balboa.mediawiki
Ricard Vidal i Masdeu,Person mentioned in Economy files,Economy of Balboa.mediawiki
Rafael Vidal i Comas,Person mentioned in Economy files,Economy of Balboa.mediawiki
Rafael Crespo i Masdeu,Person mentioned in Economy files,Economy of Balboa.mediawiki
Jordi Estrada i Renom,Person mentioned in Economy files,Economy of Balboa.mediawiki
Jordi Estrada i Soler,Person mentioned in Economy files,Economy of Balboa.mediawiki
Jordi Ferrer i Soldevila,Person mentioned in Economy files,Economy of Balboa.mediawiki
Jordi Sbert i Vidal,Person mentioned in Economy files,Economy of Balboa.mediawiki
Jordi Vidal i Crespo,Person mentioned in Economy files,Economy of Balboa.mediawiki
Lluís Arimany i Puig,Person mentioned in Economy files,Economy of Balboa.mediawiki
Lluís Comas i Masdeu,Chairman of Cases Justes; mentioned in Economy,Cases Justes.mediawiki
Laia Prat i Ferrer,Person mentioned in Economy files,Economy of Balboa.mediawiki
Laia Puig i Verdaguer,Person mentioned in Economy files,Economy of Balboa.mediawiki
Marta Estrada i Renom,Person mentioned in Economy files,Economy of Balboa.mediawiki
Sana Khatun,Person mentioned in Economy files,Economy of Balboa.mediawiki
Lîm Bûn-cheng,Person mentioned in History files,History of Balboa.mediawiki
Miquel Serra i Vidal,Person mentioned in History files,History of Balboa.mediawiki
Lluís Aragó i Vives,Person mentioned in History files,History of Balboa.mediawiki
Francesc Ballester i Cortès,Person mentioned in History files,History of Balboa.mediawiki
Arturo Mendez,Person mentioned in History files,History of Balboa.mediawiki
Carla Mayans i Sbert,Person mentioned in Economy files,Economy of Balboa.mediawiki
Esteve Ferrer i Bosch,Person mentioned in Economy files,Economy of Balboa.mediawiki
Núria Gomila,Person mentioned in Economy files (mayor Núria Gomila i Renom),Economy of Balboa.mediawiki
Bintu Cavall Rovira,Balboan footballer and head coach of Balboa women's national team; striker,Bintu Cavall.mediawiki
Nèstir Cavall Rovira,Greatest Balboan footballer; 2006 World Cup winner; striker/attacking midfielder,Nestir Cavall.mediawiki
Djanol Brifà Keita,Balboan footballer; centre-back; captain of Unió Esportiva del Mercat and Balboa national team,Djanol Brifa.mediawiki
Liang Cavall-Shen,Balboan footballer; striker; son of Bintu Cavall; Club Esportiu Sant Bart,Liang Cavall.mediawiki
Nèstir Cavall Diop,Balboan footballer; central midfielder; son of Nèstir Cavall; Castejón FC,Nestir Cavall Jr.mediawiki
Yuto Mifà,Balboan footballer; striker; all-time top scorer for Balboa; Sanu-Sasso Prima FC,Yuto Mifa.mediawiki
Sergi Cavall,Father of Bintu and Nèstir Cavall; set builder for Sant Cristòfor film studios,Bintu Cavall.mediawiki
Adama Rovira,Mother of Bintu and Nèstir Cavall; chef in Original Sant Cristòfor,Bintu Cavall.mediawiki
Oriol Cavall,Brother of Bintu and Nèstir Cavall,Bintu Cavall.mediawiki
Shen Wei-Lin,Partner of Bintu Cavall; Zong-Balboan multimedia artist,Bintu Cavall.mediawiki
Kèma Cavall-Shen,Son of Bintu Cavall and Shen Wei-Lin,Bintu Cavall.mediawiki
Adama Sow,Rival footballer; Club Esportiu Haimêng striker; ""Dues Dives"",Bintu Cavall.mediawiki
Fatoumata Keita,Previous head coach of Balboa women's national team,Bintu Cavall.mediawiki
Mariama Dia,Footballer who surpassed Bintu Cavall's international scoring record in 2022,Bintu Cavall.mediawiki
Babacar Brifà,Father of Djanol Brifà; dockworker at Sant Cristòfor freight terminal,Djanol Brifa.mediawiki
Ousmane Gueye,Youth coach at Unió Esportiva del Mercat; former Balboan international; previous captain,Djanol Brifa.mediawiki
Yassine Brifà,Brother of Djanol Brifà; midfielder; Unió Esportiva del Mercat and Balboa national team,Djanol Brifa.mediawiki
Aminata Diallo,Wife of Djanol Brifà; founder and host of Ella Isthmus celebrity gossip programme,Djanol Brifa.mediawiki
Kèsim Vidal,Previous captain of Balboa national team; midfielder; Okaiken United,Balboa national football team.mediawiki
Mamadou Fofana,Footballer; centre-back; defensive partner of Djanol Brifà; Club Esportiu Sant Bart,Djanol Brifa.mediawiki
Amara Diop,Wife of Nèstir Cavall; author of ""Cavall: A Family Portrait"",Nestir Cavall.mediawiki
Ramon Vidal i Torres,Film director; housed Cavall family near Studio Vidal,Nestir Cavall.mediawiki
Miguel Herrera,Baliscan striker; ""Gemelli"" partner of Nèstir Cavall at Castejón FC,Nestir Cavall.mediawiki
Mamadou Sow,Teammate in 2006 World Cup final; scored in final against Asikyira,Nestir Cavall.mediawiki
Miquel Xercavins,Chairman of Club Esportiu Sant Bart,Club Esportiu Sant Bart.mediawiki
Amara Diallo,Manager of Club Esportiu Sant Bart; former player; Terraces League tradition,Club Esportiu Sant Bart.mediawiki
Kwasi ""El Fletxa"" Osei,Former player of CE Sant Bart; ""The Arrow""; 1964 Apertura hero; died 1968,Club Esportiu Sant Bart.mediawiki
Yawa Kuri,Former player of CE Sant Bart; Birú striker; 1964 Apertura; all-time top scorer (147 goals),Club Esportiu Sant Bart.mediawiki
Carles Busquets,Former player of CE Sant Bart; midfielder; 5 titles,Club Esportiu Sant Bart.mediawiki
Kwame Asante,Former player of CE Sant Bart; captain; 3 titles; 350 appearances,Club Esportiu Sant Bart.mediawiki
Nadège Charlot,Former player of CE Sant Bart; midfielder; 2003 Clausura; 42 goals from midfield,Club Esportiu Sant Bart.mediawiki
Arawak Imotu,First Black manager of CE Sant Bart; Birú coach; defined estil de les graderies,Club Esportiu Sant Bart.mediawiki
Kiki Sanclimenti,Coach of Balboa national football team,Balboa national football team.mediawiki
Makèna Diouf,Captain of Balboa national football team; midfielder; Sanu-Sasso Prima FC,Balboa national football team.mediawiki
Miquel Xifra,Former coach of Balboa national team (1979); rebuilding programme,Balboa national football team.mediawiki
Miquel Xifra II,Current manager of Balboa national team; selected Liang Cavall for World Cup,Liang Cavall.mediawiki
Xavi Bonet,Goalkeeper; Balboa national team; FC Sant Cristòfor,Balboa national football team.mediawiki
Kwame Lòrda,Goalkeeper; Balboa national team; Club Esportiu Sant Bart,Balboa national football team.mediawiki
Rafa Torralba,Goalkeeper; Balboa national team; Club Esportiu Haimêng,Balboa national football team.mediawiki
Sèrgi Campdepadròs,Defender; Balboa national team; Castejón FC,Balboa national football team.mediawiki
Jordi Rovira,Defender; Balboa national team; Ampurias Central FC,Balboa national football team.mediawiki
Junyi Diafara,Defender; Balboa national team; Atlètic Costabella,Balboa national football team.mediawiki
Wei Orpella,Defender; Balboa national team; Club Esportiu Haimêng,Balboa national football team.mediawiki
Pape Kandé,Defender; Balboa national team; Araucaria United,Balboa national football team.mediawiki
Oscar Mifà,Defender; Balboa national team; Unió Esportiva del Mercat,Balboa national football team.mediawiki
Adama Touré,Midfielder; Balboa national team; FC Sant Cristòfor,Balboa national football team.mediawiki
Hao Xifra,Midfielder; Balboa national team; Club Esportiu Haimêng,Balboa national football team.mediawiki
Fatoumata Diallo,Midfielder; Balboa national team; Mazar FC,Balboa national football team.mediawiki
Lin Sanclimenti,Midfielder; Balboa national team; Sanu-Sasso Prima FC,Balboa national football team.mediawiki
Janluca Bicari,Forward; Balboa national team; Araucaria United,Balboa national football team.mediawiki
Moussa Kéba,Forward; Balboa national team; Club de Futbol Portnou,Balboa national football team.mediawiki
Kenji Mifà,Forward; Balboa national team; Unió Esportiva del Mercat,Balboa national football team.mediawiki
Lluís Campdepadròs,Forward; Balboa national team; Okaiken United,Balboa national football team.mediawiki
Chen Fofana,Forward; Balboa national team; Club Esportiu Haimêng,Balboa national football team.mediawiki
Ousmane Diafara,Recent call-up; Balboa national team; FC Sant Cristòfor,Balboa national football team.mediawiki
Pau Torralba,Recent call-up; Balboa national team; Club Esportiu Sant Bart,Balboa national football team.mediawiki
Zhi Nakama,Recent call-up; Balboa national team; Club Esportiu Haimêng,Balboa national football team.mediawiki
Amadou Diarra,Person mentioned in Economy files,Economy of Balboa.mediawiki
Jose Luis Ongania,Person mentioned in Economy files,Economy of Balboa.mediawiki
Carlos Mendez,Manager of Castejón FC; described Nèstir Cavall Jr. as ""metronome of midfield"",Nestir Cavall Jr.mediawiki
Elena Ruiz,Baliscan journalist; partner of Nèstir Cavall Jr.,Nestir Cavall Jr.mediawiki
