Aircraft,Registration,Base,FlightNo,Day,From,To,DepTime,ArrTime,BlockHrs,Notes
787-2,BL-WBB,SCI,AB113,Fri,SCI,AMP,19:00,06:00+1,11.0,Ampuria 3x daily (evening) — premium 787 config
787-2,BL-WBB,SCI,AB114,Fri,AMP,SCI,07:00,18:00,11.0,Ampuria 3x daily (evening return) — 1h turn at SCI
787-2,BL-WBB,SCI,AB113,Sat,SCI,AMP,19:00,06:00+1,11.0,Ampuria 3x daily (evening) — premium 787 config
787-2,BL-WBB,SCI,AB114,Sat,AMP,SCI,07:00,18:00,11.0,Ampuria 3x daily (evening return) — 1h turn at SCI
787-2,BL-WBB,SCI,AB113,Sun,SCI,AMP,19:00,06:00+1,11.0,Ampuria 3x daily (evening) — premium 787 config
787-2,BL-WBB,SCI,AB114,Sun,AMP,SCI,07:00,18:00,11.0,Ampuria 3x daily (evening return) — 1h turn at SCI
787-3,BL-WBC,SCI,AB115,Mon,SCI,ISK,08:00,19:00,11.0,Iskhal daily — premium 787 config
787-3,BL-WBC,SCI,AB116,Mon,ISK,SCI,20:00,07:00+1,11.0,"Iskhal daily return — overnight red-eye, 1h turn at SCI"
787-3,BL-WBC,SCI,AB115,Tue,SCI,ISK,08:00,19:00,11.0,Iskhal daily — premium 787 config
787-3,BL-WBC,SCI,AB116,Tue,ISK,SCI,20:00,07:00+1,11.0,"Iskhal daily return — overnight red-eye, 1h turn at SCI"
787-3,BL-WBC,SCI,AB115,Wed,SCI,ISK,08:00,19:00,11.0,Iskhal daily — premium 787 config
787-3,BL-WBC,SCI,AB116,Wed,ISK,SCI,20:00,07:00+1,11.0,"Iskhal daily return — overnight red-eye, 1h turn at SCI"
787-3,BL-WBC,SCI,AB115,Thu,SCI,ISK,08:00,19:00,11.0,Iskhal daily — premium 787 config
787-3,BL-WBC,SCI,AB116,Thu,ISK,SCI,20:00,07:00+1,11.0,"Iskhal daily return — overnight red-eye, 1h turn at SCI"
787-3,BL-WBC,SCI,AB115,Fri,SCI,ISK,08:00,19:00,11.0,Iskhal daily — premium 787 config
787-3,BL-WBC,SCI,AB116,Fri,ISK,SCI,20:00,07:00+1,11.0,"Iskhal daily return — overnight red-eye, 1h turn at SCI"
787-3,BL-WBC,SCI,AB115,Sat,SCI,ISK,08:00,19:00,11.0,Iskhal daily — premium 787 config
787-3,BL-WBC,SCI,AB116,Sat,ISK,SCI,20:00,07:00+1,11.0,"Iskhal daily return — overnight red-eye, 1h turn at SCI"
787-3,BL-WBC,SCI,AB115,Sun,SCI,ISK,08:00,19:00,11.0,Iskhal daily — premium 787 config
787-3,BL-WBC,SCI,AB116,Sun,ISK,SCI,20:00,07:00+1,11.0,"Iskhal daily return — overnight red-eye, 1h turn at SCI"
787-4,BL-WBD,SCI,AB117,Mon,SCI,KKD,09:00,20:00,11.0,Kankadadka daily — premium 787 config
787-4,BL-WBD,SCI,AB118,Mon,KKD,SCI,21:00,08:00+1,11.0,"Kankadadka daily return — overnight red-eye, 1h turn at SCI"
787-4,BL-WBD,SCI,AB117,Tue,SCI,KKD,09:00,20:00,11.0,Kankadadka daily — premium 787 config
787-4,BL-WBD,SCI,AB118,Tue,KKD,SCI,21:00,08:00+1,11.0,"Kankadadka daily return — overnight red-eye, 1h turn at SCI"
787-4,BL-WBD,SCI,AB117,Wed,SCI,KKD,09:00,20:00,11.0,Kankadadka daily — premium 787 config
787-4,BL-WBD,SCI,AB118,Wed,KKD,SCI,21:00,08:00+1,11.0,"Kankadadka daily return — overnight red-eye, 1h turn at SCI"
787-4,BL-WBD,SCI,AB117,Thu,SCI,KKD,09:00,20:00,11.0,Kankadadka daily — premium 787 config
787-4,BL-WBD,SCI,AB118,Thu,KKD,SCI,21:00,08:00+1,11.0,"Kankadadka daily return — overnight red-eye, 1h turn at SCI"
787-4,BL-WBD,SCI,AB117,Fri,SCI,KKD,09:00,20:00,11.0,Kankadadka daily — premium 787 config
787-4,BL-WBD,SCI,AB118,Fri,KKD,SCI,21:00,08:00+1,11.0,"Kankadadka daily return — overnight red-eye, 1h turn at SCI"
787-4,BL-WBD,SCI,AB117,Sat,SCI,KKD,09:00,20:00,11.0,Kankadadka daily — premium 787 config
787-4,BL-WBD,SCI,AB118,Sat,KKD,SCI,21:00,08:00+1,11.0,"Kankadadka daily return — overnight red-eye, 1h turn at SCI"
787-4,BL-WBD,SCI,AB117,Sun,SCI,KKD,09:00,20:00,11.0,Kankadadka daily — premium 787 config
787-4,BL-WBD,SCI,AB118,Sun,KKD,SCI,21:00,08:00+1,11.0,"Kankadadka daily return — overnight red-eye, 1h turn at SCI"
