team,country,players,notes
Louyang,Louyang,Chen Minghao;Li Zhiyuan;Sun Yichen;Wang Zhenkai;Liu Qiming;Zhang Rui;Zhou Yuhan;Xu Zhiyuan;Gao Haoran;Hu Weijie;Peng Zhenyu;Zhang Yiming;Liu Haoran;Qian Jiahui;Luo Zekai;Tang Weilin;Jiang Yuxuan;Shen Yuhuai;Ma Cheng;Lin Rui;Wu Zhaohui;Zhu Wenbo;Fang Yichen;He Zeming;Guo Jiapeng;Deng Haoyu,2026 current squad
Nusaraya,Nusaraya,Bagas Prasetyo;Dimas Saputra;Yudha Permana;Rendra Wicaksono;Bayu Adinata;Jatmiko Wibowo;Fajar Kusuma;Surya Pamungkas;Prasetya Nugroho;Wisnu Haryanto;Mateus Belo;Arga Pranata;Jaka Mahendra;Danang Purnomo;Nanda Wiryawan;Yosafat Guterres;Rangga Cakraningrat;Aditya Baskara;Satrio Jayengrat;Bima Perkasa;Raden Arya Kusumadewa;Miguel Herrera;Andika Setiawan;Javier Morales;Agung Prabowo;Raka Wiranegara,2026 current squad
Pangkajene,Pangkajene,Andi Akbar;Muhammad Asri;Daeng Naba;Andi Fadli;Baso Rahman;Jamaluddin Tiro;Arsyad Mappaselle;Syahrul Mallongi;Tenri Pabbenteng;Abdul Rasyid;Andi Muis;La Ode Firman;Syamsuddin Patta;Nurdin Daeng Rani;Nguyễn Minh Hải;Ahmad Safwan;Mappajanci Yusuf;Iskandar Salleh;Andi Muhammad Irwan;Baso Latief;Kenji Takahashi;Ilham Daeng Rate;Alejandro Morales;Fikri Mappatunru;Tran Quoc An,2026 current squad
Orma,Orma,Mikael Dirra;Yohannes Goba;Simeon Wadara;Abel Kembara;Yohannes Dhelara;Samuel Wadara;Kidus Nefari;Danial Tefi;Abreham Goba;Fikru Adara;Henok Lufara;Mesfin Dirra;Yosef Harota;Henok Kembara;Getachew Dirran;Tewelde Wadara;Yared Nefari;Samuel Dhelara;Getu Goba;Tesfaye Harota;Elior Goba;Yonatan Wadara;Kidan Dirra;Mulugeta Dhelara;Yohannes Adara;Abraham Lufara,2026 current squad
Sarta,Sarta,Adrià Vives;Pau Mena;Álvaro Serra;Jordi Siles;Marc Ferrer;Nil Cárdenas;Pau Riera;Xavi Molina;Arnau Vidal;Sergi Prats;Iker Salvat;Joan Torres;Gerard Soler;Àlex Navarro;Ferran Pujol;Pau Castaño;Oriol Miret;Mateo Roca;David Llorca;Miquel Ríos;Dani Varela;Víctor Gallardo;Jan Esteve;Hugo Crespo;Lluís Montiel;Àngel Prats,2026 current squad
Aetolia,Aetolia,Nikos Stavridis;Petros Kallis;Dimitris Arvanitis;Andreas Markou;Christos Vassilakis;Ioannis Raptis;Kostas Theodorou;Stelios Papanikou;Marios Georgiadis;Vangelis Mylonas;Lefteris Kydonas;Alexandros Karamis;Nikolaos Sifakis;Themis Korais;Yannis Pappas;Petros Lykos;Andreas Ktenas;Christos Mavridis;Spiros Kanelos;Giorgos Anastas;Manolis Zervas;Nikos Koutsis;Stavros Perides;Leonidas Sarris;Theo Paliou;Marios Dalianis,2026 current squad
Kaneda,Kaneda,Jinzaburō Satō;Takayoshi Nakamura;Edward Mercer;Naomasa Kuroda;Harunobu Skagit;Katsunori Hayashi;William Bennett;Shigetsuna Mori;Takeru Niska;Hiroshi Fujimoto;Munetaka Okamoto;Kenjiro Takeda;Renji Tsukwalt;Naoki Chan;Motoharu Fujimoto;Thomas Whitaker;Kiyomasa Ahten;Masatsugu Endō;Yasunaga Takeda;Kenji Lau;Kichirō Bennett;Shōbei Kanim;Wong Ka-ming,2026 current squad
Kalisongo,Kalisongo,Bayu Ndlovu;Arga Moyo;Prasetyo Duma;Jaya Khumalo;Damar Sibanda;Rendra Mbeki;Wira Ncube;Aditya Nkomo;Pandu Zulu;Arif Dlamini;Bima Nyathi;Rama Maseko;Wisnu Dube;Fajar Ndlovu;Satya Moyo;Guntur Khosa;Arya Sibeko;Rangga Ncube;Dewa Nkomo;Mahesa Dlamini;Banyu Nyoni;Raka Ndlovu,2026 current squad
Dagit,Dagit,Mateo Hofileña;Carles Benedicto;Pau Locsin;Enrique Yulo;Jordi Maceda;Salvador Montinola;Oriol Araneta;Ricardo Roxas;Gerard Aquino;Antonio Dasmariñas;Ferran Gonzaga;Nicanor Padilla;Miquel Treñas;Lluís Hofileña;Vicenç Gastardo;Nil Yanson;Ronaldo Mendoza;Joaquim Sotomil;Xavi Lacunya;Pere Comandante;Arnau Silvosa;Biel Laxamana;Rafel Maceda;Esteve Gonzales;Quim Albayalde;Jan Delima,2026 current squad
Tamazgha,Tamazgha,Amastan ag Mohamed;Ibrahim ou Maha;Mouha ag Akli;Assouf ag Ibrahim;Mohamed ag Baye;Yahya ou Said;Kheir ag Amud;Issa ag Musa;Tafiq ou Menna;Sidi ag Mohamed;Ahmoud ag Akote;Mamadou ou Ali;Zeid ag Waheb;Kheddou ag Boubacar;Brahim ou Ahmed;Djibril ag Mossa;Ahmed ag Khamis;Moussa ou Zaid;Tandja ag Hamid;Ehouan ag Yaya;Hamid ag Souley;Intallah ag Oumar,2026 current squad
Sanyan,Sanyan,Adewale Okoro;Olumide Akinwande;Kofi Mensah-Browne;Chidi Eze;Tariq Olatunji;Babatunde Akinwande;Oluwaseun Adeyemi;Kayode Ogunleye;Marc Torres i Vidal;Ayodele Fasanya;Nnamdi Chukwu;Olamide Bakare;Ifeanyi Udeze;Temitope Olayinka;Chijioke Nnamdi;Adebowale Adesina;Segun Odegbami;Obinna Nsofor;Dele Adeyemi;Chukwuma Okafor;Ademola Lookman;Yusuf Amoo,2026 current squad
Nakamizu,Nakamizu,Kaito Nakamura;Shunpei Watanabe;Ryōma Fujii;Haruki Saitō;Takumi Kobayashi;Daichi Yamamoto;Yūto Matsuda;Ren Ishikawa;Kōhei Nishimura;Sōta Kurokawa;Naoki Hasegawa;Tatsuya Endō;Kenta Yoshida;Ryūsei Tanaka;Shōhei Okada;Yūma Sugawara;Keisuke Arai;Junpei Nakajima;Hayato Morita;Sora Fujimoto;Masato Kitagawa;Hiroto Takahashi;Kōta Miura;Riku Inoue;Shō Yamashita;Takeru Ueda;Akito Fujimori;Ryōhei Kanda,2026 current squad
Sanrobonia,Sanrobonia,Dante Palar;Gabriel Somba;Fikri Batara;Malik Tallo;Jafar Palar;Rasyid Muis;Rizal Palar;Malik Banua;Arman Daeng;Faris Somba;Akram Arung;Ismael Cruz;Arya Mallawa;Rahman Banoa;Farhan Somba;Naufal Arung;Marco Somba;Aldo Tallo;Fikran Batara;Rizan Banua;Ruben Daeng;Arga Daeng;Ilham Muis;Niko Daeng;Emil Palar;Jairo Banua;Hafiz Lontara;Akmal Tallo,2022 current squad
Breisland,Breisland,Florian Hartmann;Niklas Drexler;Bastian Kellermann;Tobias Schäfer;Marcel Wirth;Jan Möller;Dominik Braun;Felix Krause;Lennart Vogt;Lukas Brenner;Maximilian Riedel;Sebastian Kuhn;Leon Pfeiffer;Julian Becker;Kai Westhoff;Nico Mahler;Stefan Kirsch;Andreas Wolff;Tim Richter;Philipp Langer;Matthias Gruber;Daniel Fuchs;Oliver Neumann;Simon Eckert;Lukas Zimmermann;Erik Hahn,2022 current squad
Sinchew,Sinchew,Zhang Minghao;Chen Yuhang;Li Zhendong;Wang Zhenyu;Liu Qiming;Zhou Haoran;Tan Weijie;Lim Kiat;Ong Zhihao;Goh Jianwei;Chua Junhao;Huang Zekai;Xu Yiming;Luo Chenghui;Lin Haoran;Yeo Wenxuan;Chee Kian;Teo Kaifeng;Pan Ruilin;Chen Junjie;Zhao Yuchen;Koh Zhenyu;Ng Weihao;Tan Jiehao;Goh Mingzhe;Lim Yijun,2022 current squad
Tondano,Tondano,Jordan Wenas;Calvin Mokoagow;Elia Tampi;Daniel Runtuwene;Samuel Mandagi;Ezra Kaligis;Nathan Palandeng;Adrian Mambu;Joshua Pontoh;Rafael Pangemanan;Reza Kuhu;Jeremy Sondakh;Michael Luntungan;Fikri Mopangga;David Paat;Marco Dunggio;Nabil Ampatuan;Gavin Rondonuwu;Stefan Sumual;Nico Mangindaan;Alif Mambuay;Rafael Tulung,2022 current squad
Louyan,Louyan,Chen Jiahao;Lin Yao;Wu Shen;Wang Chao;Li Wen;Zhao Lei;Sun Wei;Liu Ming;Ma Jun;Qian Hao;Gao Rui;Huang Zemin;Xu Qiang;Zhou Yifan;Chen Rui;Deng Xia;Luo Ming;Tang Jie;He Yuan;Luo Cheng;Lin Haoran;Yang Kai;Zhou Lin,2022 current squad
Galwa,Galwa,Petre Hargiesa;Qaasim Bejol;Yaxye Hargan;Markus Hargiesa;Luqas Bejol;Antoni Varaan;Gabriel Nuuran;Vicens Hargan;Dominiq Kadrim;Paule Caliya;Toma Lemaur;Mique Hargiesa;Stefa Bejol;Rafa Hargan;Grego Nuuran;Qaasim Varaan;Niqu Kadrim;Julius Caliya;Vitor Lemaur;Francesc Bejol;Sebas Hargan;Mati Caliya;Andria Nuuran;Bene Varaan;Ina Hargan;Joxan Hargan,2022 current squad
Hersatia,Hersatia,Arnaud Ferrand;Léo Bastian;Mathieu Ardouen;Hugo Vautier;Jules Beljolès;Marc Vivés;Tom Borne;Romain Prespiêr;Étienne Moncal;Pierre Riberac;Noah Aymé;Lucas Haudôme;Gabriel Veroen;Adrien Bastian;Théo Ferrand;Simon Darnay;Julien Cazal;Antoine Soler;Mathis Lagrange;Émile Vaudrin;Paul Merin;Yann Roussel;Sacha Auriol;Clément Vivés;Noé Bellard;Bastien Orsini,2022 current squad
Mercia,Mercia,Oliver Hart;Thomas Reed;Joshua King;Daniel Cross;Henry Waller;Samuel Brooke;Liam Mercer;Jack Fenwick;Ryan Dale;Peter Collins;Callum Shaw;Michael Trent;Ethan Ward;James Holloway;George Pierce;Nathan Brooks;Daniel Reeves;Adam Clarke;Ben Carter;Lewis Pritchard;Oliver Lane;Harry Collins;Mason Price;Tyler James;Isaac Bell;Sam Fletcher,2022 current squad
Zong,Zong,Yuen Kaifeng;Chen Zhiyu;Luo Hailun;Wong Zhenkai;Lin Yaoqing;Hu Junwei;Gao Mingyu;Tan Kaisheng;Zhu Chenghao;Qiu Ziheng;Xu Bowen;Li Xuan;Zheng Yifan;Huang Zhenyu;Zhao Wentai;Fang Jiahui;Peng Haoran;Su Minhao;Zhou Wenhao;Wu Zhaorong;Pan Yichen;He Zeming;Jiang Rui;Duan Kaixi;Qian Yuming;Shen Yuhang,2022 current squad
